node_num,node_name,node_type
1331,OSMR,gene
1335,PAK1,gene
1336,PAK2,gene
1341,PARD6A,gene
1343,PARD6G,gene
1344,PCK1,gene
1345,PCK2,gene
1352,PDE3B,gene
1353,PDE4A,gene
1357,PDGFA,gene
1358,PDGFB,gene
1359,PDGFC,gene
1360,PDGFD,gene
1361,PDGFRA,gene
1362,PDGFRB,gene
1365,PDK1,gene
1366,PDPK1,gene
1367,PERP,gene
1370,PFKFB2,gene
1371,PFKFB3,gene
1374,PFKM,gene
1381,PGF,gene
1383,PGR,gene
1389,PIAS1,gene
1390,PIAS2,gene
1391,PIAS3,gene
1392,PIAS4,gene
1394,PIK3AP1,gene
1396,PIK3CA,gene
1397,PIK3CB,gene
1398,PIK3CD,gene
1399,PIK3CG,gene
1400,PIK3R1,gene
1401,PIK3R2,gene
1402,PIK3R3,gene
1404,PIK3R5,gene
1405,PIK3R6,gene
1406,PIM1,gene
1411,PKN1,gene
1412,PKN2,gene
1413,PKN3,gene
1414,PLA1A,gene
1416,PLA2G12A,gene
1417,PLA2G12B,gene
1419,PLA2G2A,gene
1420,PLA2G2C,gene
1422,PLA2G2E,gene
1423,PLA2G2F,gene
1424,PLA2G3,gene
1425,PLA2G4A,gene
1426,PLA2G4B,gene
1427,PLA2G4C,gene
1428,PLA2G4D,gene
1429,PLA2G4E,gene
1430,PLA2G4F,gene
1431,PLA2G5,gene
1432,PLA2G6,gene
1434,PLAU,gene
1435,PLCB1,gene
1436,PLCB2,gene
1437,PLCB3,gene
1438,PLCB4,gene
1443,PLCG1,gene
1444,PLCG2,gene
1446,PLD1,gene
1448,PLIN1,gene
1449,PLIN2,gene
1450,PLIN4,gene
1451,PLIN5,gene
1456,PLN,gene
1457,PLTP,gene
1462,PPARA,gene
1463,PPARD,gene
1464,PPARG,gene
1465,PPARGC1A,gene
1471,PPP1CA,gene
1472,PPP1CB,gene
1473,PPP1CC,gene
1479,PPP1R3B,gene
1483,PPP2CA,gene
1484,PPP2CB,gene
1485,PPP2R1A,gene
1486,PPP2R1B,gene
1487,PPP2R2A,gene
1488,PPP2R2B,gene
1489,PPP2R2C,gene
1490,PPP2R2D,gene
1491,PPP2R3A,gene
1492,PPP2R3C,gene
1493,PPP2R5A,gene
1494,PPP2R5B,gene
1495,PPP2R5C,gene
1496,PPP2R5D,gene
1497,PPP2R5E,gene
1499,PPP3CB,gene
1500,PPP3CC,gene
1502,PPP3R2,gene
1508,PREX1,gene
1512,PRKAA1,gene
1513,PRKAA2,gene
1514,PRKAB1,gene
1515,PRKAB2,gene
1516,PRKACA,gene
1517,PRKACB,gene
1518,PRKACG,gene
1519,PRKAG1,gene
1520,PRKAG2,gene
1521,PRKAG3,gene
1526,PRKCA,gene
1527,PRKCB,gene
1528,PRKCD,gene
1529,PRKCE,gene
1530,PRKCG,gene
1531,PRKCI,gene
1532,PRKCQ,gene
1533,PRKCZ,gene
1535,PRKD2,gene
1536,PRKD3,gene
1538,PRKG2,gene
1539,PRL,gene
1540,PRLR,gene
1548,PTCH1,gene
1549,PTCH2,gene
1551,PTEN,gene
1555,PTGFR,gene
1556,PTGS2,gene
1557,PTK2,gene
1558,PTK2B,gene
1559,PTPN1,gene
1560,PTPN11,gene
1561,PTPN2,gene
1562,PTPN5,gene
1563,PTPN6,gene
1564,PTPN7,gene
1565,PTPRC,gene
1566,PTPRF,gene
1567,PTPRR,gene
1568,PXN,gene
1569,PYCARD,gene
1583,RAC1,gene
1584,RAC2,gene
1585,RAC3,gene
1586,RAF1,gene
1590,RALB,gene
1593,RAP1A,gene
1594,RAP1B,gene
1596,RAPGEF1,gene
1602,RARA,gene
1610,RASGRF1,gene
1616,RASSF1,gene
1624,RBPJ,gene
1625,RBPJL,gene
1628,RCAN2,gene
1631,RELA,gene
1634,RET,gene
1637,RGL2,gene
1641,RGS2,gene
1642,RHEB,gene
1643,RHOA,gene
1644,RHOQ,gene
1645,RICTOR,gene
1646,RIN1,gene
1647,RIPK1,gene
1658,ROCK1,gene
1659,ROCK2,gene
1663,RPS6,gene
1665,RPS6KA2,gene
1666,RPS6KA4,gene
1667,RPS6KA5,gene
1668,RPS6KB1,gene
1669,RPS6KB2,gene
1670,RPTOR,gene
1671,RRAGA,gene
1672,RRAGC,gene
1673,RRAGD,gene
1674,RRAS,gene
1675,RRAS2,gene
1676,RRM2,gene
1677,RRM2B,gene
1685,RXFP3,gene
1687,RXRA,gene
1688,RXRB,gene
1689,RXRG,gene
1694,S100A7,gene
1695,S100A7A,gene
1696,S100A8,gene
1697,S100A9,gene
1698,S1PR1,gene
1704,SCD,gene
1705,SCD5,gene
1706,SCP2,gene
1710,SELE,gene
1713,SERPINE1,gene
1724,SGK1,gene
1725,SGK2,gene
1726,SGK3,gene
1728,SH2B2,gene
1729,SH2B3,gene
1732,SHC1,gene
1733,SHC2,gene
1734,SHC3,gene
1735,SHC4,gene
1737,SHISA5,gene
1739,SIAH1,gene
1740,SIK1,gene
1743,SIN3A,gene
1747,SIVA1,gene
1753,SLC27A1,gene
1754,SLC27A4,gene
1755,SLC2A1,gene
1756,SLC2A2,gene
1757,SLC2A4,gene
1764,SLC9A1,gene
1765,SMAD1,gene
1766,SMAD2,gene
1767,SMAD3,gene
1769,SMAD5,gene
1770,SMAD6,gene
1771,SMAD7,gene
1772,SMAD9,gene
1778,SNW1,gene
1779,SOCS1,gene
1780,SOCS2,gene
1781,SOCS3,gene
1782,SOCS4,gene
1783,SOCS5,gene
1784,SOCS6,gene
1785,SOCS7,gene
1787,SORBS1,gene
1789,SOS1,gene
1790,SOS2,gene
1795,SP1,gene
1796,SPHK1,gene
1797,SPHK2,gene
1798,SPOP,gene
1799,SPOPL,gene
1801,SRC,gene
1803,SRF,gene
1804,SRSF1,gene
1811,STAT1,gene
1812,STAT2,gene
1813,STAT3,gene
1814,STAT4,gene
1815,STAT5A,gene
1816,STAT5B,gene
1817,STAT6,gene
1818,STEAP3,gene
1821,STK11,gene
1822,STK3,gene
1823,STK4,gene
1824,STMN1,gene
1825,STRADA,gene
1826,STRADB,gene
1828,SUFU,gene
1830,SYK,gene
1833,TAB2,gene
1841,TBC1D1,gene
1843,TBC1D7,gene
1844,TBK1,gene
1850,TCF7,gene
1851,TCF7L1,gene
1852,TCF7L2,gene
1854,TCL1B,gene
1856,TEAD2,gene
1859,TEC,gene
1860,TEK,gene
1861,TELO2,gene
1862,TF,gene
1865,TFF1,gene
1866,TFRC,gene
1867,TGFA,gene
1872,TGFBR2,gene
1875,TH,gene
1876,THBD,gene
1882,THPO,gene
1883,THRA,gene
1884,THRB,gene
1890,TLE1,gene
1891,TLE2,gene
1892,TLE3,gene
1893,TLE4,gene
1894,TLE6,gene
1900,TLR4,gene
1904,TNC,gene
1905,TNF,gene
1906,TNFAIP3,gene
1909,TNFRSF11A,gene
1911,TNFRSF1A,gene
1912,TNFRSF1B,gene
1914,TNFSF11,gene
1922,TP53,gene
1926,TP53I3,gene
1928,TRADD,gene
1929,TRAF1,gene
1930,TRAF2,gene
1932,TRAF3IP2,gene
1935,TRAF6,gene
1941,TRPC6,gene
1942,TSC1,gene
1943,TSC2,gene
1946,TSLP,gene
1947,TTI1,gene
1951,TYK2,gene
1952,UBC,gene
1953,UCP1,gene
1954,ULK1,gene
1955,ULK2,gene
1956,USP25,gene
1964,VCAM1,gene
1968,VEGFA,gene
1969,VEGFB,gene
1970,VEGFC,gene
1988,WNT4,gene
2000,WWTR1,gene
2004,YAP1,gene
2005,YWHAB,gene
2006,YWHAE,gene
2009,YWHAQ,gene
2011,ZAP70,gene
2017,Celecoxib,drug
2018,Cladribine,drug
2019,Dasatinib,drug
2020,Docetaxel,drug
2021,Everolimus,drug
2022,Fulvestrant,drug
2023,Gefitinib,drug
2024,Lenalidomide,drug
2025,Megestrol acetate,drug
2026,Mitotane,drug
2027,Nilotinib,drug
2028,Paclitaxel,drug
2029,Romidepsin,drug
2030,Sirolimus,drug
2031,Streptozocin,drug
2032,Thalidomide,drug
2033,Tretinoin,drug
2034,Vorinostat,drug
