node_num,node_name,node_type,outgoing_weight,incoming_weight,total_weight
1514,PRKAB1,gene,3.0435491476999994,2.3629015107999995,5.406450658499999
1515,PRKAB2,gene,3.2425658129399997,2.4166042028,5.659170015739999
1516,PRKACA,gene,3.4753062553999996,0.0,3.4753062553999996
1517,PRKACB,gene,3.8050617783999994,0.0,3.8050617783999994
1518,PRKACG,gene,2.4975220212,0.0,2.4975220212
1519,PRKAG1,gene,3.150620273,2.8455824967999996,5.9962027698
1520,PRKAG2,gene,5.587944224999999,2.58741908986,8.17536331486
1521,PRKAG3,gene,2.52602240994,2.17873984304,4.70476225298
1522,PRKAR1A,gene,0.0,0.0,0.0
1523,PRKAR1B,gene,0.0,0.0,0.0
1524,PRKAR2A,gene,0.0,0.0,0.0
1525,PRKAR2B,gene,0.0,0.0,0.0
1526,PRKCA,gene,9.449773090599999,3.401675411,12.851448501599998
1527,PRKCB,gene,9.1988979285,2.5960904296,11.7949883581
1528,PRKCD,gene,2.2593827003999998,1.695951206,3.9553339064
1529,PRKCE,gene,2.2501255511999996,0.48940907879999984,2.7395346299999996
1530,PRKCG,gene,2.7697717959999997,1.5327152229999998,4.302487018999999
1531,PRKCI,gene,0.357278644,3.0309549391999995,3.3882335831999995
1532,PRKCQ,gene,0.204051519,0.0,0.204051519
1533,PRKCZ,gene,3.59914123,4.3253769284,7.9245181584
1534,PRKD1,gene,0.0,0.0,0.0
1535,PRKD2,gene,0.0,0.2376355419999999,0.2376355419999999
1536,PRKD3,gene,0.0,0.200115086,0.200115086
1537,PRKG1,gene,0.0,0.0,0.0
1538,PRKG2,gene,0.5862492930000001,0.0,0.5862492930000001
1539,PRL,gene,0.8938679252,0.0,0.8938679252
1540,PRLR,gene,1.00788025514,2.3294942277999997,3.3373744829399996
1541,PRMT1,gene,0.0,0.0,0.0
1542,PRR5,gene,0.0,0.0,0.0
1543,PSEN1,gene,0.0,0.0,0.0
1544,PSEN2,gene,0.0,0.0,0.0
1545,PSENEN,gene,0.0,0.0,0.0
1546,PSTPIP1,gene,0.0,0.0,0.0
1547,PTAFR,gene,0.0,0.0,0.0
1548,PTCH1,gene,0.0,0.4097841249999999,0.4097841249999999
1549,PTCH2,gene,0.0,0.4279665615879999,0.4279665615879999
1550,PTCRA,gene,0.0,0.0,0.0
