source,target,type,weight,source_name,target_name
722,1401,gene-gene,0.2075050332,GNG11,PIK3R2
722,1438,gene-gene,0.219479936,GNG11,PLCB4
722,1515,gene-gene,0.274477014,GNG11,PRKAB2
722,1519,gene-gene,0.230325106,GNG11,PRKAG1
722,1521,gene-gene,0.247691622,GNG11,PRKAG3
723,1397,gene-gene,0.27243186,GNG12,PIK3CB
723,1512,gene-gene,0.2318962392,GNG12,PRKAA1
724,1436,gene-gene,0.211390758,GNG13,PLCB2
724,1438,gene-gene,0.228865178,GNG13,PLCB4
725,1401,gene-gene,0.21716518044,GNG2,PIK3R2
725,1436,gene-gene,0.243879818,GNG2,PLCB2
725,1519,gene-gene,0.2155026669999999,GNG2,PRKAG1
726,1396,gene-gene,0.2092948814,GNG3,PIK3CA
726,1401,gene-gene,0.30355785,GNG3,PIK3R2
726,1436,gene-gene,0.2364545817999999,GNG3,PLCB2
726,1438,gene-gene,0.222615268,GNG3,PLCB4
726,1512,gene-gene,0.236052876,GNG3,PRKAA1
726,1514,gene-gene,0.235882806,GNG3,PRKAB1
726,1520,gene-gene,0.221136189,GNG3,PRKAG2
727,1437,gene-gene,0.264529337,GNG4,PLCB3
728,811,gene-gene,0.2052046469999999,GNG5,HRAS
728,1396,gene-gene,0.2254675719999999,GNG5,PIK3CA
728,1397,gene-gene,0.3101178584,GNG5,PIK3CB
728,1400,gene-gene,0.2066281834,GNG5,PIK3R1
728,1402,gene-gene,0.2075660414799999,GNG5,PIK3R3
728,1437,gene-gene,0.28513508,GNG5,PLCB3
728,1512,gene-gene,0.265329614,GNG5,PRKAA1
728,1515,gene-gene,0.2061038524,GNG5,PRKAB2
728,1521,gene-gene,0.228807587,GNG5,PRKAG3
729,1396,gene-gene,0.22929317814,GNG7,PIK3CA
729,1397,gene-gene,0.2458349005999999,GNG7,PIK3CB
729,1398,gene-gene,0.2272341749999999,GNG7,PIK3CD
729,1400,gene-gene,0.2712556067999999,GNG7,PIK3R1
729,1402,gene-gene,0.2424705572,GNG7,PIK3R3
729,1512,gene-gene,0.2358571646,GNG7,PRKAA1
729,1513,gene-gene,0.2197175039999999,GNG7,PRKAA2
729,1515,gene-gene,0.200179674,GNG7,PRKAB2
729,1519,gene-gene,0.219272998,GNG7,PRKAG1
730,1396,gene-gene,0.235133498,GNG8,PIK3CA
730,1398,gene-gene,0.23779105,GNG8,PIK3CD
730,1402,gene-gene,0.236831454,GNG8,PIK3R3
731,1397,gene-gene,0.205400042,GNGT1,PIK3CB
731,1398,gene-gene,0.236708706,GNGT1,PIK3CD
731,1401,gene-gene,0.26057672,GNGT1,PIK3R2
731,1436,gene-gene,0.27622817,GNGT1,PLCB2
731,1512,gene-gene,0.2091767996,GNGT1,PRKAA1
731,1514,gene-gene,0.2497463847999999,GNGT1,PRKAB1
731,1519,gene-gene,0.2410977,GNGT1,PRKAG1
731,1521,gene-gene,0.2216813924,GNGT1,PRKAG3
732,1400,gene-gene,0.2460584306,GNGT2,PIK3R1
732,1401,gene-gene,0.203324104,GNGT2,PIK3R2
732,1435,gene-gene,0.2004250287999999,GNGT2,PLCB1
732,1444,gene-gene,0.2384736766,GNGT2,PLCG2
732,1513,gene-gene,0.2154699738,GNGT2,PRKAA2
732,1514,gene-gene,0.3178100259999999,GNGT2,PRKAB1
732,1519,gene-gene,0.268678958,GNGT2,PRKAG1
732,1520,gene-gene,0.2442409297999999,GNGT2,PRKAG2
732,1521,gene-gene,0.27862421944,GNGT2,PRKAG3
738,1435,gene-gene,0.2193288219999999,GPRC6A,PLCB1
740,872,gene-gene,0.2331519339999999,GRB10,IGF1R
740,942,gene-gene,0.343607632,GRB10,INSR
740,1231,gene-gene,0.498451692,GRB10,MTOR
741,872,gene-gene,0.276598232,GRB2,IGF1R
741,942,gene-gene,0.262427595,GRB2,INSR
741,1010,gene-gene,0.310251712,GRB2,KDR
741,1014,gene-gene,0.502725148,GRB2,KIT
741,1134,gene-gene,0.2086243072,GRB2,MAP2K1
741,1205,gene-gene,0.3165885268,GRB2,MET
741,1274,gene-gene,0.2407358879999999,GRB2,NGFR
741,1318,gene-gene,0.275363256,GRB2,NTRK1
741,1319,gene-gene,0.33527049,GRB2,NTRK2
741,1361,gene-gene,0.2281423719999999,GRB2,PDGFRA
741,1362,gene-gene,0.534000262,GRB2,PDGFRB
741,1560,gene-gene,0.2473299292,GRB2,PTPN11
741,1732,gene-gene,0.455676408,GRB2,SHC1
741,1733,gene-gene,0.3138754287999999,GRB2,SHC2
741,1734,gene-gene,0.2362559679999999,GRB2,SHC3
741,1735,gene-gene,0.284216062,GRB2,SHC4
741,1789,gene-gene,0.225226706,GRB2,SOS1
741,1860,gene-gene,0.2756203259999999,GRB2,TEK
741,954,gene-gene,0.42281677,GRB2,IRS2
741,1320,gene-gene,0.227859852,GRB2,NTRK3
