gene_idx,gene_name,degree
366,COL4A1,0.49515220239505364
367,COL4A2,0.5906939912299087
368,COL4A3,0.41001803622483085
369,COL4A4,0.4256533882721287
370,COL6A1,0.4021623486433694
371,COL6A2,0.5072100767543559
372,COL6A3,0.235425266485153
373,COL6A5,0.22052672954114158
374,COL6A6,0.27225401419776085
375,COL9A1,0.22668316351883083
376,COL9A2,0.1490909170962963
377,COL9A3,0.2990819296394799
378,COMP,0.26608991225057554
379,COP1,0.124185724
380,CPT1A,5.958843524080001
381,CPT1B,5.8239361168
382,CPT1C,4.685945643659999
383,CPT2,1.5451237759999998
384,CREB1,10.558670560579998
385,CREB3,10.546690084519998
386,CREB3L1,10.539496067199996
387,CREB3L2,11.33556208374
388,CREB3L3,12.1789002944
389,CREB3L4,10.90367274686
390,CREB5,9.359233444259996
391,CREBBP,21.88370320698
392,CRK,10.3589761008
393,CRKL,10.462679893399999
394,CRTC2,3.9006982803926364
395,CSF1,6.564477521799999
396,CSF1R,15.250538798600003
397,CSF2,7.004670325689999
398,CSF2RB,4.748247398212599
399,CSF3,5.031344573217199
400,CSF3R,3.9068577878880544
401,CSH1,3.3092796562593993
402,CSH2,2.6689330664319995
403,CSN2,1.2928930036
404,CSNK1A1,0.08365406496424099
405,CSNK1A1L,0.1886081412807715
406,CSNK1D,0.2667452335428827
407,CSNK1E,0.500557467897159
408,CSNK1G1,0.1848024402766413
409,CSNK1G2,0.1315286402109271
410,CSNK1G3,0.09580824059444712
411,CSNK2A1,0.0485442616260411
412,CSNK2A2,0.02506298155096929
413,CSNK2A3,0.11371134764378316
414,CSNK2B,0.0285886749406041
415,CTBP1,2.7401308937999995
416,CTBP2,2.67356917628
417,CTF1,3.460502576846
418,CTLA4,0.0020443237942203
419,CTNNA1,0.045177487162401594
420,CTNNA2,0.07431545106623016
421,CTNNA3,0.055297358974517
422,CTNNB1,0.8428780786921166
423,CTNNBIP1,0.067301931323831
424,CTNND1,6.29893872169538e-05
425,CTNND2,0.006823802293028238
426,CTSB,0.02675395844
427,CTSD,2.0407059999999997
428,CUL1,0.5120352721440061
429,CUL3,0.42666354264999257
430,CX3CL1,0.1361870662770335
431,CX3CR1,1.7680595615842987
432,CXCL1,2.4379573734859994
433,CXCL10,2.8326305922280004
434,CXCL11,0.2858237723688933
435,CXCL12,0.1929263181232458
436,CXCL13,0.19551148421028208
437,CXCL14,0.1415628524944533
438,CXCL16,0.11543025482090037
439,CXCL2,2.09712357583
440,CXCL3,3.2146551216279997
441,CXCL5,2.9802955766199997
442,CXCL6,2.54013560336
443,CXCL8,3.888371598535199
444,CXCL9,0.23873873706744242
445,CXCR1,2.1912075236836484
446,CXCR2,2.377708301098517
447,CXCR4,1.4622684260210184
448,CXCR5,1.8910890614011477
449,CXCR6,1.3754387869408748
450,CXXC4,0.017573489610060798
451,CYCS,0.010131803087555092
